top - 13:24:59 up  1:17,  1 user,  load average: 0.96, 0.68, 0.85
Tasks: 357 total,   1 running, 356 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.3 us,  2.6 sy,  0.0 ni, 96.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15907.9 total,   6410.3 free,   5448.5 used,   4049.0 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   9372.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2803 sh        20   0 5049968 290996 103828 S  11.8   1.8   7:54.74 gnome-s+
  13776 sh        20   0   12332   3964   3244 R  11.8   0.0   0:00.04 top
   2622 sh        20   0 2084744  84056  51524 S   5.9   0.5   4:12.51 Xorg
   6624 sh        20   0 9121972   1.7g 323808 S   5.9  11.2   6:43.08 java
      1 root      20   0  167916  11820   8224 S   0.0   0.1   0:02.52 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.11 ksoftir+
     13 root      20   0       0      0      0 I   0.0   0.0   0:08.02 rcu_sch+
     14 root      rt   0       0      0      0 S   0.0   0.0   0:00.02 migrati+
     15 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     18 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     19 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migrati+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.17 ksoftir+
     22 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     24 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     25 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migrati+
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.11 ksoftir+
     28 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
