top - 13:32:52 up  2:04,  1 user,  load average: 2.08, 2.42, 2.40
Tasks: 465 total,   5 running, 460 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.3 us,  7.2 sy,  0.0 ni, 81.2 id,  7.2 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7517.8 total,    713.7 free,   5462.2 used,   1341.8 buff/cache
MiB Swap:   2048.0 total,   1105.0 free,    943.0 used.   1124.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1237 zabbix    20   0   56548   1916   1916 S   0.0   0.0   0:00.00 zabbix_+
   1248 zabbix    20   0   56548   3040   2904 S   0.0   0.0   0:01.01 zabbix_+
   1249 zabbix    20   0   56816   3400   2952 S   0.0   0.0   0:01.17 zabbix_+
   1250 zabbix    20   0   56816   3444   2952 S   0.0   0.0   0:01.05 zabbix_+
   1251 zabbix    20   0   56692   3356   2952 S   0.0   0.0   0:01.09 zabbix_+
   1252 zabbix    20   0   56692   1772   1536 S   0.0   0.0   0:00.31 zabbix_+
   1974 zabbix    20   0  116468   5432   4828 S   0.0   0.1   0:00.02 zabbix_+
   2005 zabbix    20   0  117812   5728   4184 S   0.0   0.1   0:01.48 zabbix_+
   2066 zabbix    20   0  116748   3012   2152 S   0.0   0.0   0:00.24 zabbix_+
   2067 zabbix    20   0  116468    960    216 S   0.0   0.0   0:00.48 zabbix_+
   2068 zabbix    20   0  116468   1020    292 S   0.0   0.0   0:00.64 zabbix_+
   2069 zabbix    20   0  131008   1432    760 S   0.0   0.0   0:00.24 zabbix_+
   2070 zabbix    20   0  116824   4548   3344 S   0.0   0.1   0:01.72 zabbix_+
   2071 zabbix    20   0  116952   4436   3116 S   0.0   0.1   0:01.96 zabbix_+
   2073 zabbix    20   0  116900   4400   3100 S   0.0   0.1   0:01.56 zabbix_+
   2076 zabbix    20   0  116816   4212   3044 S   0.0   0.1   0:01.71 zabbix_+
   2078 zabbix    20   0  116468   2120   1424 S   0.0   0.0   0:01.14 zabbix_+
   2079 zabbix    20   0  116468   2180   1412 S   0.0   0.0   0:00.27 zabbix_+
   2080 zabbix    20   0  116468   1772   1112 S   0.0   0.0   0:00.59 zabbix_+
   2081 zabbix    20   0  116468   1000    260 S   0.0   0.0   0:00.47 zabbix_+
   2082 zabbix    20   0  131164   3652   2880 S   0.0   0.0   0:00.72 zabbix_+
   2083 zabbix    20   0  131008   3632   2880 S   0.0   0.0   0:00.83 zabbix_+
   2084 zabbix    20   0  131164   3596   2844 S   0.0   0.0   0:00.67 zabbix_+
   2085 zabbix    20   0  131008   3636   2880 S   0.0   0.0   0:00.74 zabbix_+
   2086 zabbix    20   0  131008   3592   2848 S   0.0   0.0   0:00.57 zabbix_+
   2087 zabbix    20   0  131008   1940   1264 S   0.0   0.0   0:00.26 zabbix_+
   2088 zabbix    20   0  131020   3672   2760 S   0.0   0.0   0:00.01 zabbix_+
   2089 zabbix    20   0  131020   3992   2736 S   0.0   0.1   0:00.00 zabbix_+
   2090 zabbix    20   0  131020   3816   2772 S   0.0   0.0   0:00.01 zabbix_+
   2091 zabbix    20   0  131020   4204   2760 S   0.0   0.1   0:00.01 zabbix_+
   2092 zabbix    20   0  131020   4492   2764 S   0.0   0.1   0:00.01 zabbix_+
   2093 zabbix    20   0  116468   1804   1120 S   0.0   0.0   0:00.28 zabbix_+
   2094 zabbix    20   0  116468   2896   2136 S   0.0   0.0   0:00.87 zabbix_+
   2095 zabbix    20   0  116468   1680   1076 S   0.0   0.0   0:00.00 zabbix_+
   2096 zabbix    20   0  116468   1680   1076 S   0.0   0.0   0:00.00 zabbix_+
   2097 zabbix    20   0  116468   1680   1076 S   0.0   0.0   0:00.00 zabbix_+
   2098 zabbix    20   0  116768   3264   2184 S   0.0   0.0   0:01.21 zabbix_+
   2099 zabbix    20   0  116600   2560   1676 S   0.0   0.0   0:00.06 zabbix_+
   2100 zabbix    20   0  116468   1976   1184 S   0.0   0.0   0:00.04 zabbix_+
   2101 zabbix    20   0  116972   3292   1856 S   0.0   0.0   0:00.36 zabbix_+
   2102 zabbix    20   0  116468   1800   1052 S   0.0   0.0   0:01.01 zabbix_+
   2103 zabbix    20   0  116600   3544   2660 S   0.0   0.0   0:00.01 zabbix_+
   2104 zabbix    20   0  116600   3292   2368 S   0.0   0.0   0:00.00 zabbix_+
   2105 zabbix    20   0  116468    888    152 S   0.0   0.0   0:03.02 zabbix_+
   2106 zabbix    20   0  116612   3556   2776 S   0.0   0.0   0:00.51 zabbix_+
   2108 zabbix    20   0  116612   3468   2652 S   0.0   0.0   0:00.55 zabbix_+
   2109 zabbix    20   0  116612   3588   2804 S   0.0   0.0   0:00.55 zabbix_+
   2110 zabbix    20   0  116612   4108   3236 S   0.0   0.1   0:00.64 zabbix_+
   2111 zabbix    20   0  116612   3708   2916 S   0.0   0.0   0:00.56 zabbix_+
   2112 zabbix    20   0  116468    896    152 S   0.0   0.0   0:01.01 zabbix_+
